Aaron, C. F.
Abel, R. H.
Ackland.,
Adams, Gen. C. W.
Adams, Robert R.
Adams, Franklin
Adams, Mrs. Lucy E.
Adams, Mrs. Annie
Aiken, Mr.
Airs, Thomas
Alfonso, Mother
Allen, Fred.
Allen, D. A.
Allen, Lena
Allen, Lula Musby
Allen, W. H.
Allen, Mr.
Allen.,
Allington, J. S.
Allison, M. M. .
Amandus, Brother
Ames, Lewis F.
Ames, Miss M.
Ames, Willie T.
Ames, Mrs. L. T.
Amish, M.
Amonett, child
Amonette, J. I.
Amonette, J. I. Jr.
Amos, Mrs. A.
Anderson, Mollie
Anderson, Auguste
Anderson, Willie
Anderson, Martha
Anderson, John
Anderson, Sarah M.
Anderson, Henrietta
Anderson, O.
Anderson, Martha
Anderson, J. W.
Anear, A.
App, Kate
App, Matilda
Arata, Mrs. Louisa
Arft, Lewis
Argi, Louis
Armstrong, Dr.
Armstrong, W.
Arnold,
Arnold, Maude
Arnold, Mrs.
Arnold, Ida
Arnold, child
Arnold, Lee
Arnold, Mr.
Arnold, Mollie
Arnott, Kate
Ash, Willie
Atchison, Emma
Atkinson, George
Atkinson, A. O.
Atkinson, John
Atkinson, Mrs. M. J.
Atkinson, William
Austin, William
Austin, Ran
Avent, Dr. B. W.
Avery, Allen G.
Avery, Major
Bacher,
Bacigaloupo, Vincent
Bacigaloupo, Mad. Vinc't
Bacigaloupo, Alice
Bacigaloupo, Mary A.
Bacigalupe, John
Bacon, Thomas
Badger, Caroline
Badinelli, A.
Badinelli, David
Badinelli, David
Bahl, John
Bailey, Mary
Bailey, Mr.
Bailey, Robert
Bailey, Charlie
Bailey, Mrs. Kate
Baker, William
Baker, T. N.
Baker, August
Baker, J. C.
Baker, S. L.
Bale, Mary L.
Balle, Fredrika
Ballinger, Mrs.
Banks, David
Banksmith, Minor
Bankson, Dr. J. S.
Barber, Mollie
Bardinello, Miss T.
Barker, J. B.
Barker, Mrs. L.
Barker, Hattie
Barlow, J. W.
Barnes, Florence
Barnes, Sarah
Barnes, W. C.
Barnes, A.
Barnes, A.
Barnes,R.W.'s son
Barnett, Bettie
Barron, Ellen
Bartholomew, Dr.
Batty, Lutin
Baudy, J. F.
Baum, Elmira
Baysted, Isaac
Beam, J. D.
Bearden, William
Beattie, John
Beatty, H.
Beavens, Fannie M.
Beavens, Nora
Beck, Katie
Becker, George N. Jr.
Bedford, George J.
Beecher, Dr. P. D.
Beechmont, Pierre
Behn, Miss Katie L.
Behrens, George
Beil, August
Belford, Hannah
Bell, Mary Bettie
Bell, Annie
Bell, Nannie
Bell, Mr.
Bell, M.
Bellte, Jacob
Bender, Fred.
Bennet, Mr.
Bennett, Charles
Bennett, Mrs. De Gray
Bennett, Mrs. May
Bergen, Frank
Bergman, George
Bergman, Mary
Bernard, E. H.
Bernard, E. H.
Bernard, H.
Bernard, H. H.
Berry, E.
Berry, James
Berry, Mrs. Claude J.
Best, Ione
Bevers, M. J.
Bickford, W. H.
Biggers, W. L.
Bilcher.,
Billar, Joseph
Bionda, Mrs. Kate
Bird, John
Birdie.,
Bisman, Henry
Bisman, Charles
Bitney, John
Bitteman, Mrs.
Bitteman, Isaac
Bitteman.,
Black, Katie
Black, Henry
Blackmore, L. W.
Blalock, W. H.
Blankenburg, William
Blanz, Clarence
Bleech, R. E.
Blew, Miss Willie
Blew, Robert
Blew, Miss Zilla
Blew, Mrs. R. W.
Blew, R. W.
Blew, Maggie
Blew, James
Bliss, Mary K.
Bloom, Moses
Bloomfield, Morris
Bock, Isadore
Boddie, Miss Alla
Boddie, Miss Jewell
Boddie, Miss Jessie
Bodell, Mr.
Bodie, Van
Bodinelli, Antonio
Boisseau, D. E.
Bokle, Rev. J. A.
Bolge, Maggie
Bolger, James
Bolinger, C.
Bolle, Mrs.. E.
Bollinger, C.
Bond, Dr. T. W.
Bonivita, Mr.
Bonne, Rishora
Bonner, Carrie
Bonner, John
Booth, James
Borden, L.
Borden, Willie
Borden, Annie
Borg, James
Borge, Katie
Borland, Miss Lizzie
Bornadia, Sister
Borsse, P.
Boss, Peter G.
Bossieu, Sallie
Botto, Tudie
Bouze, Maggie
Bowen, Alexander
Bowman, child
Boyce, Josephine
Boyd, Jack
Boyd, Charles
Boyd, Willie
Boylan, M.
Bozleman, Ernest
Bradford, Mrs.
Bradford, R. B.
Bradford, George
Bradley, Mrs. Martha
Brady, Martha
Brady, Mary
Brantz, Henry
Bras, Frank
Bras, Miss Annie
Bras, Fannie
Bras, George
Brauner.,
Brawner, Robert
Brearton, James
Brearton, Kate
Brennan, Mrs. K.
Brennáº¡n, John
Bretliez, H. S.
Brew, Michael
Bridgeport, Nancy
Brigg, Robert
Briggs, Horace H.
Brignadella, J.
Britten, W. T.
Britton, Robert
Britton, Robert
Brock, Mrs. A.
Brock, A.
Brock, Arthur
Brock, Bessie E.
Brockvogle, William
Brockvogle, William
Brooks, Ellen
Brooks, Mrs. R. E.
Brooks, (Will S.) son
Brooks, Charles C.
Brooks, Byron
Brooks, Clarence B.
Brother, Ernest
Brown, Miss Ida
Brown, Dixie G.
Brown, Tom
Brown, Maggie
Brown, E. B.
Brown, Mrs. Emmett
Brown, M. D. L.
Brown, Mrs. P. P.
Brown, Henry
Brown, Lewis
Brown, Col. A. S.
Brown, Lucene
Brown, Jacob
Brown, Charles M.
Brown, P. M.
Brown, P. M.
Brown, Jeff.
Brown, A. W.
Brum, Mrs. Annie
Brun, Mike
Bruns, Mrs. Rebeca
Bryson, Thomas
Bryson, Thos.
Buchert, J.
Buchignani, Tony
Buck, Mrs. Caroline.
Buckhalter.,
Buckle, H. W.
Bud, Mike
Bulew.,
Bullock, Mrs.
Bunyan, Fred.
Burcham, Dr. Robert
Burger, Dr. (col'd)
Burk, A. A.
Burk, A. A.
Burk, Michael
Burke, Margaret
Burke, Mrs. L. L.
Burke, Andrew
Burke, Thomas
Burke, Mrs.
Burke, Mrs.
Burke, Mary E.
Burke, Catharine
Burke, Bartholomew
Burke.,
Burleson, Mrs. M. J.
Burns, Thomas
Burns, A.
Burns, Lucy
Burns, Mrs.
Burns, Willie
Burn's child,
Burr, C. H.
Bussey, Mary E.
Butler, George
Butler, Carrie
Cadish, Mrs.
Cadish.,
Caims, Juliet R.
Cain, J. E.
Cain, Mary
Cainavan, Alice
Calahan, John
Calaway, Elsie
Caldwell, Fannie
Calhoun, W. A.
Calhoun, Mrs.
Callahan, Miss Mary
Callahan, Maggie
Callahan, Frank
Callsin, John
Campbell, Wm.
Campbell, James
Camperdonico, L.
Canale, Peter D.
Canepo, John
Canepo, James
Canepo's child,
Caneppo, Mary
Caneppo, Felicia
Cannon, Mike
Cannon, James H.
Cannon, Francis
Cannon, Bridget
Caphut, Mr.
Capshart, W. N.
Cardill.,
Carey, Albert
Cargill's son, I. J.
Carlim, Frank
Carlin, Katie
Carlisle, Elizabeth
Carlston, Charles
Carmichael, Mrs.
Carnes, Mary D.
Carpenter, Charles
Carr, J. T.
Carraway, Mrs. Ruth
Carrol, Sidney
Carroll, Ellen
Carroll, Edward
Cars, W. Luala
Carson, Peter
Carson, John
Carson, Ed.
Carteon, J. E.
Carver, Mrs.
Carver, Thomas M.
Carwin, Thomas
Castleman, B. D.
Cavanaugh, Martin
Cazoretta, Peter
Cearaway, Wm.
Celeste, John
Chalmers, Vernon
Champlain, George
Chandler, John F.
Chandler, Wm.
Chapski, Lewis
Chase, Wm. Sr.
Chatnest, Geo.
Cheek, Geo. A.
Chevis Dr. C. L.,
Child, Cole
Chinn, Walter
Christensen, Peter
Christianson, N. P.
Christman, Rudolph
Church, C. H.
Church, Frank
Church.,
Cicalla, Paul
Cicalla, Paul Sr.
Ciralto, David
Clancy, Maggie
Clapham, Mrs. G. E.
Clara, Mrs.
Clare, Harry
Clark, Elijah
Clark, Mr.
Clark, Mrs.
Clark, Barney
Clark, Anderson
Clark, Mrs. E. W.
Clark, Mrs. N.
Clark, Dr. S. R.
Clark, W. W.
Clark, Annie
Clark, Eddie
Clark, Mrs.
Clark, Thad
Clary, Michael
Clary, John D.
Clayton, Will
Cleary, John D.
Cleary, Mary Ann
Cleary.,
Cleere; Mrs. P.,
Cleire, W. P.
Clements, Henry
Cleveland, P. W.
Clockton's child,
Cloyd, Thomas S.
Cloyd, T. A.
Clure, Margaret
Coarts, Angie
Cockrell, Richard
Cockrell, B. F.
Coe, Lev. H.
Coe, Mrs. Maria
Coe, Mrs. Alice
Coe, Jessie
Cohen, Harris
Cohen, H.'s child
Cohen, Mrs. H.
Cole, Stella
Cole, Rachael
Cole, Gertrude
Cole, R.
Cole, Frederick
Coleman, Adam
Coleman, Eddie
Collin, Miss
Collins, Rev. C.
Collins, Thomas
Collins, James
Colman, Ben.
Comstock, Mrs. C. M.
Conaway, Mrs.
Conchila, T. S.
Condon, Miss Mary
Conlan, Maggie
Conley, Dennis
Conlin, John
Connally, John J.
Connel, Ella
Connell, Annie
Connell, Pat
Connell, Thomas
Connelly, Timothy
Conners, Pat.
Conotti, Cecilia
Conrad, Mrs. J. F.
