Source,URL,Author,Date,Page Count
"Bulletins of the public health, issued by the supervising surgeon-general under national quarantine act of April 29, 1878",https://babel.hathitrust.org/cgi/pt?id=nnc1.cu56191464&view=1up&seq=1,United States. Public Health Service,1881,148
State-Board-of-Health-Vol.1,https://babel.hathitrust.org/cgi/pt?id=coo.31924012082719&view=1up&seq=9,Tennessee. Dept. of Public Health,1880,594
State-Board-of-Health-Vol.2,https://babel.hathitrust.org/cgi/pt?id=uiug.30112118493318&view=1up&seq=9,Tennessee. Dept. of Public Health,1885,636
State-Board-of-Health-Vol.3&4,https://babel.hathitrust.org/cgi/pt?id=mdp.39015067910243&view=1up&seq=1,Tennessee. Dept. of Public Health,1887,386
State-Board-of-Health-Vol.5&6,https://babel.hathitrust.org/cgi/pt?id=hvd.32044102978905&view=1up&seq=1,Tennessee. Dept. of Public Health,1889,414
State-Board-of-Health-Vol.7&8,https://babel.hathitrust.org/cgi/pt?id=hvd.32044102978913&view=1up&seq=1,Tennessee. Dept. of Public Health,1891,458
State-Board-of-Health-Vol.9&10,https://babel.hathitrust.org/cgi/pt?id=hvd.32044102978921&view=1up&seq=1,Tennessee. Dept. of Public Health,1893,436
Condensed history of the great yellow fever epidemic of 1878; personal,https://babel.hathitrust.org/cgi/pt?id=hvd.hc1kcq&view=1up&seq=5,Peter Murtough,1879,113
Heroes and Heroines of Memphis ,https://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1kh0wh4x&view=1up&seq=7,Rev. D. A. Quinn,1887,331
History of Yellow Fever Epidemic in Memphis ,https://babel.hathitrust.org/cgi/pt?id=mdp.39015047184315&view=1up&seq=13,Howard Association,1879,473
victims of the fever in Memphis.,,,,
